Local time in Ganzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
28.03.2020 23:00,11.2,753.6,766.2,1.0,66,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,,,11.2,,,,2500 or more  or no clouds.,,,20.0,5.1,No precipitation,12,,,,
28.03.2020 20:00,11.5,752.6,765.2,0.5,69,Wind blowing from the north-northeast,3,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,1500-2000,,,19.0,6.0,No precipitation,12,,,,
28.03.2020 17:00,12.7,752.1,764.6,-1.0,69,Wind blowing from the north-east,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,1000-1500,,,18.0,7.0,No precipitation,12,,,,
28.03.2020 14:00,12.9,753.1,765.6,-2.0,70,Wind blowing from the north-east,4,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,,,,600-1000,,,18.0,7.6,1.0,12,,,,
28.03.2020 11:00,11.8,755.1,767.5,0.9,79,Wind blowing from the north-east,3,,8,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,23.2,,,2500 or more  or no clouds.,,,20.0,8.3,2.0,12,,,,
28.03.2020 08:00,11.5,754.2,766.6,2.3,81,Wind blowing from the north,3,,8,100%.,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.2,23.2,,,1500-2000,,,20.0,8.4,3.0,12,,,,
28.03.2020 05:00,12.2,751.9,764.3,1.5,89,Wind blowing from the north,3,,8,,Rain (not freezing) not falling as shower(s). ,,,12.2,23.2,,,2500 or more  or no clouds.,,,19.0,10.4,4.0,12,,,,
28.03.2020 02:00,15.0,750.4,762.7,1.4,90,Wind blowing from the north-northwest,3,,11,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,15.0,23.2,,,2500 or more  or no clouds.,,,9.0,13.4,17.0,12,,,,
27.03.2020 23:00,19.7,749.0,761.2,1.2,97,Wind blowing from the west-northwest,1,,11,,Rain  not freezing  intermittent  slight at time of observation. ,,,19.1,23.2,,,2500 or more  or no clouds.,,,4.9,19.2,16.0,12,,,,
27.03.2020 20:00,20.0,747.8,760.0,0.7,97,Wind blowing from the north-northeast,1,,11,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.1,23.2,,,1500-2000,,,7.0,19.5,17.0,12,,,,
